t E e M
s erg erg g
4126.15214043344 1.4362117320999393e+51 6.124663695707837e+50 1.990239918773275e+33
4133.0917004594 1.4365328660428344e+51 6.123969445550054e+50 1.9902393754894076e+33
4140.01399105044 1.4368417809959096e+51 6.12350170696564e+50 1.990238846332061e+33
4146.90055123092 1.4371157583534768e+51 6.1225565042730664e+50 1.9902382896932626e+33
4153.76967362651 1.4374134820508984e+51 6.121402651347905e+50 1.9902376628382686e+33
4160.62793753734 1.4377336723770381e+51 6.121048839315865e+50 1.9902370306792815e+33
4167.46248575045 1.4380153379189031e+51 6.120358445815148e+50 1.9902363926124623e+33
4174.27647465445 1.4382886681451682e+51 6.118856430666983e+50 1.9902357534165897e+33
4181.10818054377 1.4385849659925338e+51 6.118099584385097e+50 1.99023511159783e+33
4187.9210630529 1.4388969706269278e+51 6.117570126577028e+50 1.9902344689755325e+33
4194.71239873369 1.43916842384646e+51 6.116488015650033e+50 1.9902338269389705e+33
4201.5508846857 1.4394432370432386e+51 6.114966351484613e+50 1.9902331773281287e+33
4208.52482415671 1.4397414903551504e+51 6.1142018421720595e+50 1.990232512397556e+33
4215.47877885885 1.4400532899098724e+51 6.113417661791373e+50 1.990231847183253e+33
4222.41807305627 1.4403291652805635e+51 6.112256399314737e+50 1.9902311817849413e+33
4229.47064861075 1.440610805703549e+51 6.1108075208369524e+50 1.9902305050804565e+33
4236.69301790108 1.4409148819435298e+51 6.109856096620956e+50 1.9902298125478618e+33
4243.8941048567 1.4412299833385453e+51 6.108897603972807e+50 1.990229123172908e+33
4251.07541456707 1.4415113189272543e+51 6.107715269223995e+50 1.9902284375621032e+33
4258.36898308024 1.4418011404101425e+51 6.1060588443361065e+50 1.9902277436312608e+33
4265.78669455186 1.442109300108584e+51 6.105183034595661e+50 1.99022704053348e+33
4273.18019666702 1.4424243991720943e+51 6.10403639714614e+50 1.9902263427174938e+33
4280.54914217908 1.4427103019502336e+51 6.102963769105488e+50 1.990225650542345e+33
4287.97456149769 1.4430023631603094e+51 6.101280576674105e+50 1.990224956556252e+33
4295.5335388678 1.4433119989244857e+51 6.10011562561757e+50 1.9902242534636754e+33
4303.07370097163 1.4436249906040364e+51 6.099359157424993e+50 1.9902235549867387e+33
4310.59630650505 1.4439136636499018e+51 6.0980982063355705e+50 1.9902228602236058e+33
4318.23260731685 1.4442093593765954e+51 6.096584106159607e+50 1.9902221559956113e+33
4325.93607165985 1.4445207416834954e+51 6.0956853124914e+50 1.990221446630385e+33
4333.61913199271 1.4448335181923773e+51 6.094744216951431e+50 1.9902207411111257e+33
4341.28637822175 1.4451232069282086e+51 6.0932010973800345e+50 1.9902200398666147e+33
4349.09997082584 1.4454225893897173e+51 6.091809565506329e+50 1.9902193284286097e+33
4356.98382348867 1.4457370642346653e+51 6.090723844215402e+50 1.9902186135971777e+33
4364.85295532735 1.4460485308404685e+51 6.089552349016257e+50 1.990217902554458e+33
4372.72260358078 1.4463425221284111e+51 6.087807779710365e+50 1.9902171930717896e+33
